time,,,,,,,
3.2000000000000024,1594289079.0870774,3771,-338,449,18768,-21590,1143,
3.2040000000000024,1594289079.0871234,-3180,313,1740,27040,-30659,517,
3.2080000000000024,1594289079.087166,-58356,1853,3869,779948,-785603,-103,
3.2120000000000024,1594289079.0872104,-119597,518,4969,2210026,-2215812,-97,
3.2160000000000024,1594289079.0872648,-31456,-2665,4907,1334135,-1338412,584,
3.2200000000000024,1594289079.087327,3438,-4626,4721,23152,-25738,1189,
3.2240000000000024,1594289079.0873704,-3440,-4457,6483,26170,-29576,581,
3.2280000000000024,1594289079.0874343,-56857,-3715,9197,746982,-752255,-122,
3.2320000000000024,1594289079.0874789,-118210,-4752,10091,2163425,-2168855,-67,
3.2360000000000024,1594289079.0875235,-30830,-6992,9222,1308543,-1312538,525,
3.2400000000000024,1594289079.0875807,3342,-8508,8580,22028,-24343,1132,
3.2440000000000024,1594289079.0876272,-3272,-8364,10264,25073,-28104,515,
3.2480000000000024,1594289079.0876706,-56734,-7458,12901,754867,-759825,-157,
3.2520000000000024,1594289079.0877156,-118284,-7986,13319,2173519,-2178684,-116,
3.2560000000000024,1594289079.0877595,-31691,-9828,11994,1305721,-1309459,520,
3.2600000000000025,1594289079.0878038,3168,-10801,10915,19679,-21890,1219,
3.2640000000000025,1594289079.0878487,-3363,-10168,12110,22792,-25762,592,
3.2680000000000025,1594289079.0878937,-56110,-8955,14351,719327,-724146,-139,
3.2720000000000025,1594289079.0879383,-115492,-8981,14382,2158775,-2163866,-140,
3.2760000000000025,1594289079.087984,-30484,-10258,12427,1318449,-1322145,543,
3.2800000000000025,1594289079.0880282,3223,-10758,10839,21163,-23318,1141,
3.2840000000000025,1594289079.0880709,-3326,-9639,11627,23258,-26203,555,
3.2880000000000025,1594289079.0881271,-55494,-8073,13453,699423,-704268,-146,
3.2920000000000025,1594289079.0881727,-116892,-7636,13049,2133613,-2138819,-165,
3.2960000000000025,1594289079.0882177,-30515,-8469,10704,1308028,-1311905,501,
3.3000000000000025,1594289079.088263,3363,-8601,8688,22949,-25284,1174,
3.3040000000000025,1594289079.0883074,-3004,-7055,9012,24758,-27955,561,
3.3080000000000025,1594289079.088351,-55643,-4717,10169,722517,-727657,-143,
3.3120000000000025,1594289079.0883963,-117070,-3987,9390,2118296,-2123784,-115,
3.3160000000000025,1594289079.088441,-31359,-4760,7008,1286591,-1290762,541,
3.3200000000000025,1594289079.0884852,3568,-4815,4910,18473,-21087,1171,
3.3240000000000025,1594289079.0885298,-2882,-2584,4623,21223,-24718,581,
3.3280000000000025,1594289079.088574,-55518,419,5217,708473,-713976,-136,
3.3320000000000025,1594289079.0886302,-117694,1293,4182,2122356,-2128158,-108,
3.3360000000000025,1594289079.0886853,-32000,75,2232,1314498,-1318939,532,
3.3400000000000025,1594289079.0887325,3695,-450,592,23990,-26832,1157,
3.3440000000000025,1594289079.0887775,-2635,2199,-86,23024,-26743,548,
3.3480000000000025,1594289079.0888324,-54937,6154,-427,724810,-730523,-127,
3.3520000000000025,1594289079.0888767,-116571,6852,-1182,2113008,-2119036,-96,
3.3560000000000025,1594289079.0889225,-30851,4110,-1731,1237451,-1242028,560,
3.3600000000000025,1594289079.0889673,3797,2558,-2403,16781,-19732,1168,
3.3640000000000025,1594289079.0890105,-2454,4906,-2903,20023,-23750,513,
3.3680000000000025,1594289079.0890565,-56465,9331,-3622,716219,-721990,-157,
3.3720000000000026,1594289079.0891013,-116970,8600,-2890,2133984,-2140014,-168,
3.3760000000000026,1594289079.0891445,-32400,4474,-2039,1339470,-1344022,498,
3.3800000000000026,1594289079.0892015,3711,1807,-1711,25458,-28313,1206,
3.3840000000000026,1594289079.0892475,-2480,2842,-886,17966,-21631,581,
3.3880000000000026,1594289079.0892909,-54312,4933,702,683563,-689192,-129,
3.3920000000000026,1594289079.0893357,-117152,3808,1762,2076876,-2082772,-121,
3.3960000000000026,1594289079.089381,-32540,198,2119,1285402,-1289841,585,
3.4000000000000026,1594289079.089425,3601,-2216,2372,23256,-26002,1187,
3.4040000000000026,1594289079.0894697,-2677,-1929,3876,22310,-25735,563,
3.4080000000000026,1594289079.0895157,-54907,-781,6351,723507,-728902,-134,
3.4120000000000026,1594289079.089559,-115811,-2025,7527,2150747,-2156339,-135,
3.4160000000000026,1594289079.0896046,-31677,-4755,7044,1364589,-1368751,533,
3.4200000000000026,1594289079.0896614,3436,-6631,6740,29812,-32302,1187,
3.4240000000000026,1594289079.0897067,-2665,-6474,8407,20438,-23679,533,
3.4280000000000026,1594289079.0897517,-54635,-5609,11102,728811,-733868,-166,
3.4320000000000026,1594289079.0897973,-116583,-6418,11953,2200485,-2205826,-200,
3.4360000000000026,1594289079.089842,-33167,-8499,10845,1460108,-1464058,491,
3.4400000000000026,1594289079.0898962,3081,-9791,9932,41428,-43694,1137,
3.4440000000000026,1594289079.0899415,-2876,-9412,11312,24179,-27166,586,
3.4480000000000026,1594289079.0899868,-53535,-8493,13880,749774,-754588,-133,
3.4520000000000026,1594289079.090069,-115813,-8787,14214,2201612,-2206732,-137,
3.4560000000000026,1594289079.0901453,-33748,-10200,12526,1450020,-1453866,534,
3.4600000000000026,1594289079.0902348,3078,-11150,11242,40013,-42223,1188,
3.4640000000000026,1594289079.090304,-2918,-10293,12186,24015,-26914,656,
3.4680000000000026,1594289079.0903647,-54732,-8757,14167,752113,-756900,-64,
3.4720000000000026,1594289079.090446,-119738,-8494,14047,2225000,-2230175,-173,
3.4760000000000026,1594289079.0904944,-36293,-9689,12110,1532753,-1536683,512,
3.4800000000000026,1594289079.0905414,3050,-10047,10335,47782,-50136,1127,
3.4840000000000027,1594289079.0905855,-2861,-8705,10739,20195,-23273,504,
3.4880000000000027,1594289079.0906317,-54331,-6702,12248,696999,-702087,-139,
3.4920000000000027,1594289079.090677,-122568,-6148,11708,2206413,-2211833,-135,
3.4960000000000027,1594289079.0907226,-35976,-6943,9290,1461364,-1465506,565,
3.5000000000000027,1594289079.0907679,3258,-7107,7281,39535,-42057,1176,
3.5040000000000027,1594289079.0908127,-2935,-5288,7278,22788,-26070,576,
3.5080000000000027,1594289079.0908573,-54057,-2707,8223,724558,-729873,-107,
3.5120000000000027,1594289079.0909026,-116998,-1731,7299,2138263,-2143898,-146,
3.5160000000000027,1594289079.0909615,-34944,-2592,5045,1389176,-1393541,484,
3.5200000000000027,1594289079.0910072,3402,-2896,3069,34108,-36856,1120,
3.5240000000000027,1594289079.091051,-2612,-548,2599,20766,-24304,529,
3.5280000000000027,1594289079.0910964,-55807,3109,2579,739866,-745502,-170,
3.5320000000000027,1594289079.0911422,-120820,3916,1736,2169104,-2175047,-202,
3.5360000000000027,1594289079.0911858,-36449,2372,126,1440016,-1444653,465,
